"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…",FALSE,0,NA,2021-11-30 13:15:55,FALSE,NA,"1465670931691438083",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SarvendraSacha2",5317,TRUE,FALSE,NA,NA
"RT @AirdropStario: 💧 Edain Airdrop 💧

🏆 Task:          ➕ $75 worth of EAI

👨‍👩‍👧 Referral:   ➕ $10,000 worth of EAI for the top 50 referrer…",FALSE,0,NA,2021-11-30 13:15:54,FALSE,NA,"1465670929019805697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shuraim00",1675,TRUE,FALSE,NA,NA
"@dragonpool_game I am very impressed with this project.  I will follow it. Hopefully in the future will be more sol… https://t.co/m9pQX1wrQk",FALSE,0,"dragonpool_game",2021-11-30 13:15:54,TRUE,"1464913218787176452","1465670927530688513","1438122062682353667","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yony_yuangga",0,FALSE,FALSE,NA,NA
"RT @hobo_erc20: $250 USD in 24hrs 

✅ RT &amp; Follow @hobo_erc20 

Win this Limited NFT
#NFTs  #NFTGiveaway  #HOBO #NFTCommunity  #NFT #crypto…",FALSE,0,NA,2021-11-30 13:15:53,FALSE,NA,"1465670923562860544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ITSMELJENO19",7104,TRUE,FALSE,NA,NA
"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…",FALSE,0,NA,2021-11-30 13:15:53,FALSE,NA,"1465670922627518465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","psghule77",5317,TRUE,FALSE,NA,NA
"RT @HectorDAO_HEC: Our Official $HEC Calculator is Online!
👀👀👀👀👀👀
Don't be late... Join our Big Family!

https://t.co/a57XS0j4nq

#Stakeand…",FALSE,0,NA,2021-11-30 13:15:53,FALSE,NA,"1465670921637679113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaddyILL",488,TRUE,FALSE,NA,NA
"RT @CLOEnterprise: Callisto Enterprise is officially registered!

Now that the legal aspects are settled, we can focus on our #roadmap and…",FALSE,0,NA,2021-11-30 13:15:52,FALSE,NA,"1465670917338583040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DavidKponadou",499,TRUE,FALSE,NA,NA
"RT @IbaxNetwork: IBAX Airdrop is now live! You can get up to 100,000 IBXC . 
https://t.co/NePHh1DUpV
The earlier you participate in the air…",FALSE,0,NA,2021-11-30 13:15:50,FALSE,NA,"1465670910921244674",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abdurra19834028",3943,TRUE,FALSE,NA,NA
"@IbaxNetwork Nice project

#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT",FALSE,0,"IbaxNetwork",2021-11-30 13:15:49,FALSE,"1462718767784292353","1465670907125547015","1323549139905380353","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AmirHamdy25",0,FALSE,FALSE,NA,NA
"RT @nftcommunitty: RUN Don't Walk! The #city #art your #nftcollection is MISSING Just Dropped!
#OGPUNK #PENCILHEADZ #NFTDROP #NFTGANGBIZ #N…",FALSE,0,NA,2021-11-30 13:15:49,FALSE,NA,"1465670905976307719",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","majorie64790933",111,TRUE,FALSE,NA,NA
"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…",FALSE,0,NA,2021-11-30 13:15:49,FALSE,NA,"1465670905468624896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","udiku05",5317,TRUE,FALSE,NA,NA
"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…",FALSE,0,NA,2021-11-30 13:15:49,FALSE,NA,"1465670905384689668",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lol_i_won",5493,TRUE,FALSE,NA,NA
"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…",FALSE,0,NA,2021-11-30 13:15:49,FALSE,NA,"1465670904373911556",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ourcbs",5493,TRUE,FALSE,NA,NA
"🤑 New coin listing on CoinGecko! Baby Ripple , Symbol: $BABYXRP  #cryptocurrency #crypto",FALSE,0,NA,2021-11-30 13:15:48,FALSE,NA,"1465670903136722946",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CoinPumpInfo</a>","CoinPumpInfo",0,FALSE,FALSE,NA,NA
"RT @popop_world: 📣 POPOP WORLD AIRDROP IS LIVE!

📍 Audited by: SolidProof

🏆 Reward for Tasks:  60,000 POP » Total airdrop pool.

👨‍👩‍👧 Ref…",FALSE,0,NA,2021-11-30 13:15:48,FALSE,NA,"1465670900787793922",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChotHelga",6784,TRUE,FALSE,NA,NA
"RT @IbaxNetwork: Happy Thanksgiving！
Airdrop:https://t.co/NePHh1DUpV 
#Cryptocurrency #Airdrop #giveaways #thanksgiving https://t.co/LyfSpO…",FALSE,0,NA,2021-11-30 13:15:47,FALSE,NA,"1465670899009564674",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mr_pappu78",3581,TRUE,FALSE,NA,NA
"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ",FALSE,0,NA,2021-11-30 13:15:47,FALSE,NA,"1465670897088417793",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Abhishe9206",4543,TRUE,FALSE,NA,NA
"Do you think @CheemsInu will delete 2 zeros before this year end? #CHEEMSARMY #CheemsInu #cryptocurrency #CryptocurrencyNews",FALSE,0,NA,2021-11-30 13:15:46,FALSE,NA,"1465670893066407938",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jFly001",0,FALSE,FALSE,NA,NA
