created_at,text
2021-11-30 13:15:55,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:54,"RT @AirdropStario: 💧 Edain Airdrop 💧

🏆 Task:          ➕ $75 worth of EAI

👨‍👩‍👧 Referral:   ➕ $10,000 worth of EAI for the top 50 referrer…"
2021-11-30 13:15:54,@dragonpool_game I am very impressed with this project.  I will follow it. Hopefully in the future will be more sol… https://t.co/m9pQX1wrQk
2021-11-30 13:15:53,"RT @hobo_erc20: $250 USD in 24hrs 

✅ RT &amp; Follow @hobo_erc20 

Win this Limited NFT
#NFTs  #NFTGiveaway  #HOBO #NFTCommunity  #NFT #crypto…"
2021-11-30 13:15:53,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:53,"RT @HectorDAO_HEC: Our Official $HEC Calculator is Online!
👀👀👀👀👀👀
Don't be late... Join our Big Family!

https://t.co/a57XS0j4nq

#Stakeand…"
2021-11-30 13:15:52,"RT @CLOEnterprise: Callisto Enterprise is officially registered!

Now that the legal aspects are settled, we can focus on our #roadmap and…"
2021-11-30 13:15:50,"RT @IbaxNetwork: IBAX Airdrop is now live! You can get up to 100,000 IBXC . 
https://t.co/NePHh1DUpV
The earlier you participate in the air…"
2021-11-30 13:15:49,"@IbaxNetwork Nice project

#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT"
2021-11-30 13:15:49,"RT @nftcommunitty: RUN Don't Walk! The #city #art your #nftcollection is MISSING Just Dropped!
#OGPUNK #PENCILHEADZ #NFTDROP #NFTGANGBIZ #N…"
2021-11-30 13:15:49,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:49,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:49,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:48,"🤑 New coin listing on CoinGecko! Baby Ripple , Symbol: $BABYXRP  #cryptocurrency #crypto"
2021-11-30 13:15:48,"RT @popop_world: 📣 POPOP WORLD AIRDROP IS LIVE!

📍 Audited by: SolidProof

🏆 Reward for Tasks:  60,000 POP » Total airdrop pool.

👨‍👩‍👧 Ref…"
2021-11-30 13:15:47,"RT @IbaxNetwork: Happy Thanksgiving！
Airdrop:https://t.co/NePHh1DUpV 
#Cryptocurrency #Airdrop #giveaways #thanksgiving https://t.co/LyfSpO…"
2021-11-30 13:15:47,"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ"
2021-11-30 13:15:46,Do you think @CheemsInu will delete 2 zeros before this year end? #CHEEMSARMY #CheemsInu #cryptocurrency #CryptocurrencyNews
2021-11-30 13:15:46,"RT @IbaxNetwork: IBAX Airdrop is now live! You can get up to 100,000 IBXC . 
https://t.co/NePHh1DUpV
The earlier you participate in the air…"
2021-11-30 13:15:46,"RT @Jetoken1: 💎JeToken LAUNCH💎

🚀LAUNCHING November 30th🚀

✈️Do not miss your opportunity to purchase JeToken during our final days of Pre-…"
2021-11-30 13:15:46,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:45,"[Futures] By 2021-11-29 16:00 GMT, $ETC usdt-margin futures had a price change of 3.90% with an average Funding Rat… https://t.co/0JYbCwjOo9"
2021-11-30 13:15:45,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:45,"RT @Bonkversity: Turn your #nihilism into #stoicism 

#dogebonk #cryptocurrency https://t.co/JLClkH9oO9"
2021-11-30 13:15:45,"CBDC is a tool to combat Bitcoin, says Bank of Indonesia exec #CryptoCurrencies #bitcoin #cryptocurrency via… https://t.co/JNdV4RMY92"
2021-11-30 13:15:44,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:44,"RT @AudiA1JiMi: @ZukiMoba This project is going to be a better position in the future and go to the moon very soon.

@_11728
@newtayeb
@Sou…"
2021-11-30 13:15:43,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:43,"RT @AirdropStario: 💧 Battle of MultiWorld Airdrop 💧

🏆 Task:          ➕ Up to 75 BMW (~$1.2)

👨‍👩‍👧 Referral:   ➕ 1250 BMW (~$25) for the t…"
2021-11-30 13:15:43,"RT @BUDZ_ARMY: It’s #altcoin season and $BUDZ from @BudzProject is READY TO POP 💥

Great entry point in this sub 500k MC gem💎

#cryptocurre…"
2021-11-30 13:15:43,#WapSwapFinance #WapSwap #WAP #blockchain #cryptocurrency #technology #bitcoin #money #crypto #Binance #BNB… https://t.co/dVliXTMnu7
2021-11-30 13:15:42,"RT @WILDERCRYPTOO: Which #crypto are you loading up on right now?

#Cryptogem #cryptocurrency #x100Gems #altcoin #DeFi #cryptotwitter #bloc…"
2021-11-30 13:15:42,"RT @cosmic_fang: @finance_perseus It's a great pleasure to be part of this wonderful opportunity, I trust this is a solid project,so guys y…"
2021-11-30 13:15:42,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:42,"RT @CryptoTownEU: 🚀 Airdrop: Travel Coin
💰 Value: $4 worth of $TCOIN
👥 Referral: $10 worth of $TCOIN
📼 Audit: Nebula
🗞 News: UniFarm, Coinq…"
2021-11-30 13:15:41,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:41,"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ"
2021-11-30 13:15:41,"RT @IbaxNetwork: IBAX Airdrop is now live! You can get up to 100,000 IBXC . 
https://t.co/NePHh1DUpV
The earlier you participate in the air…"
2021-11-30 13:15:40,"RT @unixplaytoearn: The UniX team has been in the works to list the Unix token on a CEX! 
Can you guess who is going to be the first?

#Pla…"
2021-11-30 13:15:40,"RT @yzwnd2: @IbaxNetwork Fantastic project with great potential. The team's dedication and ingenuity with excellent fan support..

@hendric…"
2021-11-30 13:15:40,"@AirdropStario Wow so bewtufull projet
@Shirifa1205A
@MdRidoy16595176
@MDRahat59195364
 #cryptocurrency #Airdrop… https://t.co/TyxvRltYPv"
2021-11-30 13:15:39,"RT @AirdropStario: 💧 PLS2E 2nd Round Airdrop 💧

🏆 Task:          ➕ 200,000 P2E » Total airdrop pool.

👨‍👩‍👧 Referral:   ➕ 10 Points

🔛 Aird…"
2021-11-30 13:15:39,"RT @AirdropStario: 💧 Battle of MultiWorld Airdrop 💧

🏆 Task:          ➕ Up to 75 BMW (~$1.2)

👨‍👩‍👧 Referral:   ➕ 1250 BMW (~$25) for the t…"
2021-11-30 13:15:38,"RT @CryptoTownEU: 🚀 Airdrop: Twelve Legions
💰 Value: 660,000 $CTL ($12,500)
👥 Referral: Top 43 Referrals will get Huge Prizes
📒 Partnership…"
2021-11-30 13:15:38,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:38,@IbaxNetwork Im happy to participating in this huge airdrop. I hope this project going be great and success in the… https://t.co/67ySfjZNGS
2021-11-30 13:15:37,"RT @Sakibalhasan62: @IbaxNetwork Wow so bewtufull projet
@Shirifa1205A
@MdRidoy16595176
@MDRahat59195364
 #IBAX #Airdrop #cryptocurrency #M…"
2021-11-30 13:15:37,"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ"
2021-11-30 13:15:37,"RT @popop_world: 📣 POPOP WORLD AIRDROP IS LIVE!

📍 Audited by: SolidProof

🏆 Reward for Tasks:  60,000 POP » Total airdrop pool.

👨‍👩‍👧 Ref…"
2021-11-30 13:15:36,"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ"
2021-11-30 13:15:36,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:36,"RT @unixplaytoearn: The UniX team has been in the works to list the Unix token on a CEX! 
Can you guess who is going to be the first?

#Pla…"
2021-11-30 13:15:36,RT @WatcherGuru: Which #cryptocurrency have you been HODLing the longest? 🧐
2021-11-30 13:15:35,RT @DessertSwap: Our BEP-20 Audit for @teendoge_bsc is complete! Please review the findings of the audit on our website: https://t.co/9Xv76…
2021-11-30 13:15:35,"The day-after results: who called it? WHO LEGIT CALLED NOT TO BUY $MINE OFF YESTERDAY'S BUY-RECOMMENDATION?

(spoil… https://t.co/TQCN4G5JDK"
2021-11-30 13:15:35,"@IbaxNetwork This token Will Boom And It Is Recommended To My Crypto Friends, Don't Think More Just Go For It… https://t.co/JmAoFsK1AQ"
2021-11-30 13:15:35,"#BTCUSD - New Technical Analysis 

Trade with 10% off fees on dYdX, the best decentralised derivatives exchange on… https://t.co/5LnSAKMOdR"
2021-11-30 13:15:35,RT @CornucopiasGame: We're excited to share our first preview of a mini-game that is currently under development! Make sure you join our Di…
2021-11-30 13:15:34,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:34,"RT @SabreEthereum: History was made last night as three of the biggest trend setters in #Crypto took the stage in a world first.

This was…"
2021-11-30 13:15:34,@IbaxNetwork This is definitely going to be HUGE!  as the team has been an inspiration in their innovative approach… https://t.co/ltoTDPPiqJ
2021-11-30 13:15:34,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:33,RT @kp_hunters: @IbaxNetwork The project is implemented professionally and has a clear development plan. It's made by a very professional a…
2021-11-30 13:15:33,"RT @CryptoYeager_: BABY DOGE TO THE MOON 🚀🚀

#BabyDoge #BabyDogeCoin #Crypto #cryptocurrency #Binance #BTC #ETH #ToTheMoon https://t.co/0to…"
2021-11-30 13:15:33,RT @satishacharya: Tackling Crypto... #cryptocurrency https://t.co/bEMmt1r5Xi
2021-11-30 13:15:33,"RT @hobo_erc20: $250 USD in 24hrs 

✅ RT &amp; Follow @hobo_erc20 

Win this Limited NFT
#NFTs  #NFTGiveaway  #HOBO #NFTCommunity  #NFT #crypto…"
2021-11-30 13:15:33,"RT @CryptoTownEU: 🚀 Airdrop: Travel Coin
💰 Value: $4 worth of $TCOIN
👥 Referral: $10 worth of $TCOIN
📼 Audit: Nebula
🗞 News: UniFarm, Coinq…"
2021-11-30 13:15:33,"RT @IbaxNetwork: Happy Thanksgiving！
Airdrop:https://t.co/NePHh1DUpV 
#Cryptocurrency #Airdrop #giveaways #thanksgiving https://t.co/LyfSpO…"
2021-11-30 13:15:32,"RT @IbaxNetwork: Join us！ You can get up to 100,000 IBXC . 
https://t.co/NePHh1VvOv
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #N…"
2021-11-30 13:15:32,"RT @AirdropStario: 💧 Battle of MultiWorld Airdrop 💧

🏆 Task:          ➕ Up to 75 BMW (~$1.2)

👨‍👩‍👧 Referral:   ➕ 1250 BMW (~$25) for the t…"
2021-11-30 13:15:32,"RT @teendoge_bsc: Teen Doge is committed to fulfilling the technical vision of ""allowing everyone to benefit fairly from decentralized coll…"
2021-11-30 13:15:31,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:31,"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ"
2021-11-30 13:15:31,"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ"
2021-11-30 13:15:31,"Maruti Suzuki hikes prices of Eeco van by Rs 8,000 | SSFEED
The increase in price is effective from November 30, 20… https://t.co/gWzTJ0eU94"
2021-11-30 13:15:31,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:30,"RT @CryptoTownEU: 🚀 Airdrop: Travel Coin
💰 Value: $4 worth of $TCOIN
👥 Referral: $10 worth of $TCOIN
📼 Audit: Nebula
🗞 News: UniFarm, Coinq…"
2021-11-30 13:15:30,"RT @Crypto_Carlosa: New $LUNA ATH $55 +

Just getting started.........

#TERRA $UST $ANC $MIR $PSI $VKR $TFLOKI $KUJI $ORION #Crypto #Crypt…"
2021-11-30 13:15:30,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:30,"RT @Lkjf91475198: @IbaxNetwork #Cryptocurrency #Airdrop #giveaways #thanksgiving 
I believe this is a faithful project.The projector has a…"
2021-11-30 13:15:29,"RT @IbaxNetwork: Join us！ You can get up to 100,000 IBXC . 
https://t.co/NePHh1VvOv
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #N…"
2021-11-30 13:15:29,"RT @CryptoTownEU: 🚀 Airdrop: Twelve Legions
💰 Value: 660,000 $CTL ($12,500)
👥 Referral: Top 43 Referrals will get Huge Prizes
📒 Partnership…"
2021-11-30 13:15:29,"RT @IbaxNetwork: Join us！ You can get up to 100,000 IBXC . 
https://t.co/NePHh1VvOv
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #N…"
2021-11-30 13:15:29,RT @knudsen_schultz: #Saitama #cryptocurrency #SaitamaWolfPack We Are so close 🐺🚀😊💥🍾💚🌅😊🐺
2021-11-30 13:15:29,"RT @CryptoTownEU: 🚀 Airdrop: Travel Coin
💰 Value: $4 worth of $TCOIN
👥 Referral: $10 worth of $TCOIN
📼 Audit: Nebula
🗞 News: UniFarm, Coinq…"
2021-11-30 13:15:28,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:27,"RT @IbaxNetwork: IBAX Airdrop is now live! You can get up to 100,000 IBXC . 
https://t.co/NePHh1DUpV
The earlier you participate in the air…"
2021-11-30 13:15:27,"RT @CryptoTownEU: 🚀 Airdrop: Travel Coin
💰 Value: $4 worth of $TCOIN
👥 Referral: $10 worth of $TCOIN
📼 Audit: Nebula
🗞 News: UniFarm, Coinq…"
2021-11-30 13:15:27,"RT @IbaxNetwork: Happy Thanksgiving！
Airdrop:https://t.co/NePHh1DUpV 
#Cryptocurrency #Airdrop #giveaways #thanksgiving https://t.co/LyfSpO…"
2021-11-30 13:15:26,"RT @CryptoTownEU: 🚀 Airdrop: Travel Coin
💰 Value: $4 worth of $TCOIN
👥 Referral: $10 worth of $TCOIN
📼 Audit: Nebula
🗞 News: UniFarm, Coinq…"
2021-11-30 13:15:26,RT @TheMoonCarl: Which #cryptocurrency is getting ready to 100x? 🧐
2021-11-30 13:15:24,"RT @CryptoCapflow: [Spot] By 2021-11-29 14:00 GMT, DASH total trading volume of 463,700DASH and net cap flow of -$3M in last 24 hrs. #crypt…"
2021-11-30 13:15:23,"RT @IbaxNetwork: 📢 Notes: Invite your friends to get rewards together
💎 You can earn IBXC by completing daily tasks.
💰 Referral Ranking Rew…"
2021-11-30 13:15:23,RT @knudsen_schultz: @Saitamaguru1 @InuSaitama I think We can wait a Day for things so big like this 💖 #Saitama #cryptocurrency #SaitamaWol…
2021-11-30 13:15:23,"RT @mark_option: DODO USDT breakout the resistance Trendline
#USDT #cryptocurrency https://t.co/CZHjqS3TaA"
2021-11-30 13:15:21,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:21,"RT @CryptoTownEU: 🚀 Airdrop: Travel Coin
💰 Value: $4 worth of $TCOIN
👥 Referral: $10 worth of $TCOIN
📼 Audit: Nebula
🗞 News: UniFarm, Coinq…"
2021-11-30 13:15:21,"@dragonpool_game Specially Thanks sir ✨
For sharing a great project I Hope This project Future is Bright More Succe… https://t.co/GjmGOksdIY"
2021-11-30 13:15:21,"RT @Kenneth97748083: #cryptocurrency Total Market Cap / Fell from 3Trillion &amp; Landed @ 2.3Trillion / Connecting the previous tops, the last…"
2021-11-30 13:15:21,"❤️ @Kubecoin_

#KubeCoin is the future of #DeFi 🔥

Built on #Cardano 🎯

Pre-sale tomorrow🚀🔥
📅 01/12/2021
⏰ 8am UTC… https://t.co/BqnYmBnmOk"
2021-11-30 13:15:21,"RT @SabreEthereum: History was made last night as three of the biggest trend setters in #Crypto took the stage in a world first.

This was…"
2021-11-30 13:15:21,RT @WatcherGuru: Which #cryptocurrency have you been HODLing the longest? 🧐
2021-11-30 13:15:20,RT @JBC_Hub: #jbc #junglebookcrypto #crypto #cryptocurrency #altcoin #binance #presale  This team is doxed and developing products for the…
2021-11-30 13:15:20,"RT @tanvi_ratna: 🚨THREAD🚨 on the India Crypto Solution

With rising policy concerns around #crypto, India is looking for a strong solution…"
2021-11-30 13:15:19,"RT @TravelTcoin: 🔥 New TCOIN Airdrop Round 2!
⌛️ 01-06 December!
🚀 Total Reward: $5000 in TCOIN
🏦 Distribution Date: 7th - 10th December 20…"
2021-11-30 13:15:18,"RT @BurnUnitz: I humbly invite #ElSalvador to the wolf party #Saitama is #thepeoplescoin @nayibbukele #DYOR 

#cryptocurrency https://t.co/…"
2021-11-30 13:15:17,"RT @IbaxNetwork: IBAX Airdrop is now live! You can get up to 100,000 IBXC . 
https://t.co/NePHh1DUpV
The earlier you participate in the air…"
2021-11-30 13:15:17,"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ"
2021-11-30 13:15:17,"RT @IbaxNetwork: Happy Thanksgiving！
Airdrop:https://t.co/NePHh1DUpV 
#Cryptocurrency #Airdrop #giveaways #thanksgiving https://t.co/LyfSpO…"
2021-11-30 13:15:17,"RT @CryptoTownEU: 🚀 Airdrop: Twelve Legions
💰 Value: 660,000 $CTL ($12,500)
👥 Referral: Top 43 Referrals will get Huge Prizes
📒 Partnership…"
2021-11-30 13:15:17,"RT @IbaxNetwork: Happy Thanksgiving！
Airdrop:https://t.co/NePHh1DUpV 
#Cryptocurrency #Airdrop #giveaways #thanksgiving https://t.co/LyfSpO…"
2021-11-30 13:15:16,"RT @AirdropStario: 💧 Battle of MultiWorld Airdrop 💧

🏆 Task:          ➕ Up to 75 BMW (~$1.2)

👨‍👩‍👧 Referral:   ➕ 1250 BMW (~$25) for the t…"
2021-11-30 13:15:16,"RT @IbaxNetwork: Waiting for next week
#IBAX #Airdrop #cryptocurrency #Metaverse #Giveaways #NFT https://t.co/qGZCHapAIQ"
2021-11-30 13:15:16,"RT @CryptoTownEU: 🚀 Airdrop: Travel Coin
💰 Value: $4 worth of $TCOIN
👥 Referral: $10 worth of $TCOIN
📼 Audit: Nebula
🗞 News: UniFarm, Coinq…"
2021-11-30 13:15:16,"Whether you are a day trader or scalper, sometimes you’re better off not gaining anything on a certain trade than r… https://t.co/Q0l29U5V7E"
2021-11-30 13:15:16,"RT @IbaxNetwork: Happy Thanksgiving！
Airdrop:https://t.co/NePHh1DUpV 
#Cryptocurrency #Airdrop #giveaways #thanksgiving https://t.co/LyfSpO…"
